,Div,HomeTeam,AwayTeam,Date,
107,SC2,Annan Athletic,Queen of Sth,05/04/2025,
108,SC2,Annan Athletic,Stenhousemuir,08/03/2025,
109,SC2,Arbroath,Alloa,04/01/2025,
110,SC2,Arbroath,Annan Athletic,01/03/2025,
111,SC2,Arbroath,Cove Rangers,29/03/2025,
112,SC2,Arbroath,Dumbarton,15/03/2025,
113,SC2,Arbroath,Inverness C,08/02/2025,
114,SC2,Arbroath,Kelty Hearts,25/01/2025,
115,SC2,Arbroath,Montrose,28/12/2024,
116,SC2,Arbroath,Queen of Sth,03/05/2025,
117,SC2,Arbroath,Stenhousemuir,12/04/2025,
118,SC2,Cove Rangers,Alloa,19/04/2025,
119,SC2,Cove Rangers,Annan Athletic,15/02/2025,
120,SC2,Cove Rangers,Arbroath,01/02/2025,
121,SC2,Cove Rangers,Dumbarton,22/02/2025,
122,SC2,Cove Rangers,Inverness C,05/04/2025,
123,SC2,Cove Rangers,Kelty Hearts,26/04/2025,
124,SC2,Cove Rangers,Montrose,11/01/2025,
125,SC2,Cove Rangers,Queen of Sth,08/03/2025,
126,SC2,Cove Rangers,Stenhousemuir,22/03/2025,
127,SC2,Dumbarton,Alloa,01/02/2025,
128,SC2,Dumbarton,Annan Athletic,26/04/2025,
129,SC2,Dumbarton,Arbroath,11/01/2025,
130,SC2,Dumbarton,Cove Rangers,12/04/2025,
131,SC2,Dumbarton,Inverness C,08/03/2025,
132,SC2,Dumbarton,Kelty Hearts,28/12/2024,
133,SC2,Dumbarton,Montrose,15/02/2025,
134,SC2,Dumbarton,Queen of Sth,22/03/2025,
135,SC2,Dumbarton,Stenhousemuir,01/03/2025,
136,SC2,Inverness C,Alloa,22/03/2025,
137,SC2,Inverness C,Annan Athletic,15/03/2025,
138,SC2,Inverness C,Arbroath,26/04/2025,
139,SC2,Inverness C,Cove Rangers,28/12/2024,
140,SC2,Inverness C,Dumbarton,04/01/2025,
141,SC2,Inverness C,Kelty Hearts,12/04/2025,
142,SC2,Inverness C,Montrose,01/03/2025,
143,SC2,Inverness C,Queen of Sth,01/02/2025,
144,SC2,Inverness C,Stenhousemuir,15/02/2025,
145,SC2,Kelty Hearts,Alloa,03/05/2025,
146,SC2,Kelty Hearts,Annan Athletic,01/02/2025,
147,SC2,Kelty Hearts,Arbroath,22/03/2025,
148,SC2,Kelty Hearts,Cove Rangers,08/02/2025,
149,SC2,Kelty Hearts,Dumbarton,05/04/2025,
150,SC2,Kelty Hearts,Inverness C,22/02/2025,
151,SC2,Kelty Hearts,Montrose,08/03/2025,
152,SC2,Kelty Hearts,Queen of Sth,19/04/2025,
